,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
122,122,-0.9651598104871937,0.007161836683303936,2024-05-18 17:08:33.846702,2024-05-18 17:08:36.995243,0 days 00:00:03.148541,513,0.1286447614248163,0.3947185068047774,2,COMPLETE
123,123,-2.068510278411541,0.008887293716261468,2024-05-18 17:08:36.995243,2024-05-18 17:08:42.759563,0 days 00:00:05.764320,995,0.726740271625143,0.1390401654120803,2,COMPLETE
124,124,-0.4044874543583191,0.005968175010841344,2024-05-18 17:08:42.776117,2024-05-18 17:08:45.758200,0 days 00:00:02.982083,448,0.3289833145102581,0.2912480994604083,2,COMPLETE
125,125,-0.4089263026963311,0.005992511010034227,2024-05-18 17:08:45.758200,2024-05-18 17:08:48.773609,0 days 00:00:03.015409,478,0.45165363142392556,0.9265250779091302,2,COMPLETE
126,126,-0.3213574324631476,0.00578649576693384,2024-05-18 17:08:48.773609,2024-05-18 17:08:51.105753,0 days 00:00:02.332144,208,0.04367041053946974,0.1390401654120803,2,COMPLETE
127,127,-0.46278142734794725,0.006206819342909719,2024-05-18 17:08:51.105753,2024-05-18 17:08:53.620520,0 days 00:00:02.514767,231,0.9016349801114897,0.5185529383320543,2,COMPLETE
128,128,-1.2947694546106314,0.007485230125482979,2024-05-18 17:08:53.620520,2024-05-18 17:08:56.069572,0 days 00:00:02.449052,271,0.45165363142392556,0.9837882751690195,2,COMPLETE
129,129,-1.5119091444979265,0.008082075560248,2024-05-18 17:08:56.069572,2024-05-18 17:08:58.193275,0 days 00:00:02.123703,68,0.39696177866073523,0.8429170483169679,2,COMPLETE
130,130,-0.8611698165206493,0.006851470794038099,2024-05-18 17:08:58.193275,2024-05-18 17:09:01.167386,0 days 00:00:02.974111,448,0.9016349801114897,0.2912480994604083,2,COMPLETE
131,131,-0.7702448083645319,0.00668132625766967,2024-05-18 17:09:01.167386,2024-05-18 17:09:05.632057,0 days 00:00:04.464671,673,0.536964049611274,0.7742891165929479,2,COMPLETE
132,132,-0.5704117002918341,0.006289139260103688,2024-05-18 17:09:05.632057,2024-05-18 17:09:11.212960,0 days 00:00:05.580903,983,0.8723739167002719,0.7571666721826962,2,COMPLETE
133,133,-0.2778161095283295,0.0057805236987390745,2024-05-18 17:09:11.212960,2024-05-18 17:09:16.444036,0 days 00:00:05.231076,865,0.6741721442127685,0.5513282541379884,2,COMPLETE
134,134,-1.0343125989050252,0.007017976034752055,2024-05-18 17:09:16.444036,2024-05-18 17:09:18.975172,0 days 00:00:02.531136,271,0.49960133276852836,0.1390401654120803,2,COMPLETE
135,135,-0.2946362886279273,0.0058274953029608155,2024-05-18 17:09:18.976211,2024-05-18 17:09:23.907318,0 days 00:00:04.931107,794,0.7747091101861301,0.20592144708549764,2,COMPLETE
136,136,-0.7897204381358504,0.0067604551255179834,2024-05-18 17:09:23.907318,2024-05-18 17:09:28.588544,0 days 00:00:04.681226,679,0.1286447614248163,0.3947185068047774,2,COMPLETE
137,137,-0.5406249694947829,0.006305300989646143,2024-05-18 17:09:28.588544,2024-05-18 17:09:33.453048,0 days 00:00:04.864504,754,0.3690333970215378,0.6670405134632346,2,COMPLETE
138,138,-0.4113446255774857,0.006000761678067466,2024-05-18 17:09:33.453048,2024-05-18 17:09:39.183853,0 days 00:00:05.730805,962,0.3289833145102581,0.1390401654120803,2,COMPLETE
